symbol,yahoo_symbol,name,series,isin,industry,source,as_of
AETHER,AETHER.NS,Aether Industries Limited,EQ,INE0BWX01014,,local_data_nse_equity_list,2026-04-29
AFCONS,AFCONS.NS,Afcons Infrastructure Limited,EQ,INE101I01011,,local_data_nse_equity_list,2026-04-29
AFFLE,AFFLE.NS,Affle 3i Limited,EQ,INE00WC01027,,local_data_nse_equity_list,2026-04-29
AFFORDABLE,AFFORDABLE.NS,Affordable Robotic & Automation Limited,BE,INE692Z01013,,local_data_nse_equity_list,2026-04-29
AFIL,AFIL.NS,Akme Fintrade (India) Limited,BE,INE916Y01027,,local_data_nse_equity_list,2026-04-29
AFSL,AFSL.NS,Abans Financial Services Limited,EQ,INE00ZE01026,,local_data_nse_equity_list,2026-04-29
AGARIND,AGARIND.NS,Agarwal Industrial Corporation Limited,EQ,INE204E01012,,local_data_nse_equity_list,2026-04-29
AGARWALEYE,AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,EQ,INE943P01029,,local_data_nse_equity_list,2026-04-29
AGI,AGI.NS,AGI Greenpac Limited,EQ,INE415A01038,,local_data_nse_equity_list,2026-04-29
AGIIL,AGIIL.NS,Agi Infra Limited,EQ,INE976R01033,,local_data_nse_equity_list,2026-04-29
AGRITECH,AGRITECH.NS,Agri-Tech (India) Limited,EQ,INE449G01018,,local_data_nse_equity_list,2026-04-29
AGROPHOS,AGROPHOS.NS,Agro Phos India Limited,EQ,INE740V01019,,local_data_nse_equity_list,2026-04-29
AHCL,AHCL.NS,Anlon Healthcare Limited,EQ,INE0Y8W01025,,local_data_nse_equity_list,2026-04-29
AHLADA,AHLADA.NS,Ahlada Engineers Limited,EQ,INE00PV01013,,local_data_nse_equity_list,2026-04-29
AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited,EQ,INE926K01017,,local_data_nse_equity_list,2026-04-29
AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,EQ,INE758C01029,,local_data_nse_equity_list,2026-04-29
AHLWEST,AHLWEST.NS,Asian Hotels (West) Limited,BE,INE915K01010,,local_data_nse_equity_list,2026-04-29
AIAENG,AIAENG.NS,AIA Engineering Limited,EQ,INE212H01026,,local_data_nse_equity_list,2026-04-29
AIIL,AIIL.NS,Authum Investment & Infrastructure Limited,EQ,INE206F01022,,local_data_nse_equity_list,2026-04-29
AIRAN,AIRAN.NS,Airan Limited,EQ,INE645W01026,,local_data_nse_equity_list,2026-04-29
AIROLAM,AIROLAM.NS,Airo Lam limited,EQ,INE801L01010,,local_data_nse_equity_list,2026-04-29
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,EQ,INE031B01049,,local_data_nse_equity_list,2026-04-29
AJAXENGG,AJAXENGG.NS,Ajax Engineering Limited,EQ,INE274Y01021,,local_data_nse_equity_list,2026-04-29
AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited,EQ,INE298G01035,,local_data_nse_equity_list,2026-04-29
AJOONI,AJOONI.NS,Ajooni Biotech Limited,EQ,INE820Y01021,,local_data_nse_equity_list,2026-04-29
AKASH,AKASH.NS,Akash Infra-Projects Limited,EQ,INE737W01013,,local_data_nse_equity_list,2026-04-29
AKCAPIT,AKCAPIT.NS,AK Capital Services Limited,EQ,INE701G01012,,local_data_nse_equity_list,2026-04-29
AKG,AKG.NS,Akg Exim Limited,EQ,INE00Y801016,,local_data_nse_equity_list,2026-04-29
AKI,AKI.NS,AKI India Limited,EQ,INE642Z01026,,local_data_nse_equity_list,2026-04-29
AKSHAR,AKSHAR.NS,Akshar Spintex Limited,EQ,INE256Z01025,,local_data_nse_equity_list,2026-04-29
AKSHARCHEM,AKSHARCHEM.NS,AksharChem India Limited,EQ,INE542B01011,,local_data_nse_equity_list,2026-04-29
AKSHOPTFBR,AKSHOPTFBR.NS,Aksh Optifibre Limited,BE,INE523B01011,,local_data_nse_equity_list,2026-04-29
AKUMS,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,EQ,INE09XN01023,,local_data_nse_equity_list,2026-04-29
ALANKIT,ALANKIT.NS,Alankit Limited,EQ,INE914E01040,,local_data_nse_equity_list,2026-04-29
ALBERTDAVD,ALBERTDAVD.NS,Albert David Limited,EQ,INE155C01010,,local_data_nse_equity_list,2026-04-29
ALEMBICLTD,ALEMBICLTD.NS,Alembic Limited,EQ,INE426A01027,,local_data_nse_equity_list,2026-04-29
ALGOQUANT,ALGOQUANT.NS,Algoquant Fintech Limited,EQ,INE598D01035,,local_data_nse_equity_list,2026-04-29
ALICON,ALICON.NS,Alicon Castalloy Limited,EQ,INE062D01024,,local_data_nse_equity_list,2026-04-29
ALIVUS,ALIVUS.NS,Alivus Life Sciences Limited,EQ,INE03Q201024,,local_data_nse_equity_list,2026-04-29
ALKALI,ALKALI.NS,Alkali Metals Limited,EQ,INE773I01017,,local_data_nse_equity_list,2026-04-29
ALKEM,ALKEM.NS,Alkem Laboratories Limited,EQ,INE540L01014,,local_data_nse_equity_list,2026-04-29
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,EQ,INE150B01039,,local_data_nse_equity_list,2026-04-29
ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited,EQ,INE418H01029,,local_data_nse_equity_list,2026-04-29
ALLDIGI,ALLDIGI.NS,Alldigi Tech Limited,EQ,INE835G01018,,local_data_nse_equity_list,2026-04-29
ALLTIME,ALLTIME.NS,All Time Plastics Limited,EQ,INE0GV601021,,local_data_nse_equity_list,2026-04-29
ALMONDZ,ALMONDZ.NS,Almondz Global Securities Limited,EQ,INE326B01035,,local_data_nse_equity_list,2026-04-29
ALOKINDS,ALOKINDS.NS,Alok Industries Limited,EQ,INE270A01029,,local_data_nse_equity_list,2026-04-29
ALPA,ALPA.NS,Alpa Laboratories Limited,EQ,INE385I01010,,local_data_nse_equity_list,2026-04-29
ALPHAGEO,ALPHAGEO.NS,Alphageo (India) Limited,EQ,INE137C01018,,local_data_nse_equity_list,2026-04-29
AMAGI,AMAGI.NS,Amagi Media Labs Limited,EQ,INE121R01077,,local_data_nse_equity_list,2026-04-29
AMANTA,AMANTA.NS,Amanta Healthcare Limited,EQ,INE084K01015,,local_data_nse_equity_list,2026-04-29
AMBALALSA,AMBALALSA.NS,Ambalal Sarabhai Enterprises Limited,EQ,INE432A01017,,local_data_nse_equity_list,2026-04-29
AMBER,AMBER.NS,Amber Enterprises India Limited,EQ,INE371P01015,,local_data_nse_equity_list,2026-04-29
AMBICAAGAR,AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ,INE792B01012,,local_data_nse_equity_list,2026-04-29
AMBIKCO,AMBIKCO.NS,Ambika Cotton Mills Limited,EQ,INE540G01014,,local_data_nse_equity_list,2026-04-29
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited,EQ,INE079A01024,,local_data_nse_equity_list,2026-04-29
AMDIND,AMDIND.NS,AMD Industries Limited,EQ,INE005I01014,,local_data_nse_equity_list,2026-04-29
AMIRCHAND,AMIRCHAND.NS,Amir Chand Jagdish Kumar (Exports) Limited,EQ,INE05TO01019,,local_data_nse_equity_list,2026-04-29
AMJLAND,AMJLAND.NS,Amj Land Holdings Limited,EQ,INE606A01024,,local_data_nse_equity_list,2026-04-29
AMNPLST,AMNPLST.NS,Amines & Plasticizers Limited,EQ,INE275D01022,,local_data_nse_equity_list,2026-04-29
AMRUTANJAN,AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ,INE098F01031,,local_data_nse_equity_list,2026-04-29
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ,INE463V01026,,local_data_nse_equity_list,2026-04-29
ANANTRAJ,ANANTRAJ.NS,Anant Raj Limited,EQ,INE242C01024,,local_data_nse_equity_list,2026-04-29
ANDHRAPAP,ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ,INE435A01051,,local_data_nse_equity_list,2026-04-29
ANDHRSUGAR,ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ,INE715B01021,,local_data_nse_equity_list,2026-04-29
ANGELONE,ANGELONE.NS,Angel One Limited,EQ,INE732I01021,,local_data_nse_equity_list,2026-04-29
ANIKINDS,ANIKINDS.NS,Anik Industries Limited,BE,INE087B01017,,local_data_nse_equity_list,2026-04-29
ANKITMETAL,ANKITMETAL.NS,Ankit Metal & Power Limited,BZ,INE106I01010,,local_data_nse_equity_list,2026-04-29
ANMOL,ANMOL.NS,Anmol India Limited,EQ,INE02AR01019,,local_data_nse_equity_list,2026-04-29
ANSALAPI,ANSALAPI.NS,Ansal Properties & Infrastructure Limited,BZ,INE436A01026,,local_data_nse_equity_list,2026-04-29
ANTELOPUS,ANTELOPUS.NS,Antelopus Selan Energy Limited,EQ,INE818A01017,,local_data_nse_equity_list,2026-04-29
ANTGRAPHIC,ANTGRAPHIC.NS,Antarctica Limited,EQ,INE414B01021,,local_data_nse_equity_list,2026-04-29
ANTHEM,ANTHEM.NS,Anthem Biosciences Limited,EQ,INE0CZ201020,,local_data_nse_equity_list,2026-04-29
ANUHPHR,ANUHPHR.NS,Anuh Pharma Limited,EQ,INE489G01022,,local_data_nse_equity_list,2026-04-29
ANUP,ANUP.NS,The Anup Engineering Limited,EQ,INE294Z01018,,local_data_nse_equity_list,2026-04-29
ANURAS,ANURAS.NS,Anupam Rasayan India Limited,EQ,INE930P01018,,local_data_nse_equity_list,2026-04-29
APARINDS,APARINDS.NS,Apar Industries Limited,EQ,INE372A01015,,local_data_nse_equity_list,2026-04-29
APCL,APCL.NS,Anjani Portland Cement Limited,EQ,INE071F01012,,local_data_nse_equity_list,2026-04-29
APCOTEXIND,APCOTEXIND.NS,Apcotex Industries Limited,EQ,INE116A01032,,local_data_nse_equity_list,2026-04-29
APEX,APEX.NS,Apex Frozen Foods Limited,EQ,INE346W01013,,local_data_nse_equity_list,2026-04-29
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited,EQ,INE702C01027,,local_data_nse_equity_list,2026-04-29
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,EQ,INE901L01018,,local_data_nse_equity_list,2026-04-29
APOLLO,APOLLO.NS,Apollo Micro Systems Limited,EQ,INE713T01028,,local_data_nse_equity_list,2026-04-29
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ,INE437A01024,,local_data_nse_equity_list,2026-04-29
APOLLOPIPE,APOLLOPIPE.NS,Apollo Pipes Limited,EQ,INE126J01016,,local_data_nse_equity_list,2026-04-29
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited,EQ,INE438A01022,,local_data_nse_equity_list,2026-04-29
APOLSINHOT,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ,INE451F01024,,local_data_nse_equity_list,2026-04-29
APTECHT,APTECHT.NS,Aptech Limited,EQ,INE266F01018,,local_data_nse_equity_list,2026-04-29
APTUS,APTUS.NS,Aptus Value Housing Finance India Limited,EQ,INE852O01025,,local_data_nse_equity_list,2026-04-29
AQYLON,AQYLON.NS,Aqylon Nexus Limited,EQ,INE416A01051,,local_data_nse_equity_list,2026-04-29
ARCHIDPLY,ARCHIDPLY.NS,Archidply Industries Limited,EQ,INE877I01016,,local_data_nse_equity_list,2026-04-29
ARCHIES,ARCHIES.NS,Archies Limited,EQ,INE731A01020,,local_data_nse_equity_list,2026-04-29
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Limited,EQ,INE885A01032,,local_data_nse_equity_list,2026-04-29
ARENTERP,ARENTERP.NS,Rajdarshan Industries Limited,EQ,INE610C01014,,local_data_nse_equity_list,2026-04-29
ARFIN,ARFIN.NS,Arfin India Limited,EQ,INE784R01023,,local_data_nse_equity_list,2026-04-29
ARIES,ARIES.NS,Aries Agro Limited,EQ,INE298I01015,,local_data_nse_equity_list,2026-04-29
ARIHANT,ARIHANT.NS,Arihant Foundations & Housing Limited,EQ,INE413D01011,,local_data_nse_equity_list,2026-04-29
ARIHANTCAP,ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ,INE420B01036,,local_data_nse_equity_list,2026-04-29
ARIHANTSUP,ARIHANTSUP.NS,Arihant Superstructures Limited,EQ,INE643K01018,,local_data_nse_equity_list,2026-04-29
ARIS,ARIS.NS,Arisinfra Solutions Limited,EQ,INE0H9P01028,,local_data_nse_equity_list,2026-04-29
ARKADE,ARKADE.NS,Arkade Developers Limited,EQ,INE0QRL01017,,local_data_nse_equity_list,2026-04-29
ARMANFIN,ARMANFIN.NS,Arman Financial Services Limited,EQ,INE109C01017,,local_data_nse_equity_list,2026-04-29
AROGRANITE,AROGRANITE.NS,Aro Granite Industries Limited,EQ,INE210C01013,,local_data_nse_equity_list,2026-04-29
ARROWGREEN,ARROWGREEN.NS,Arrow Greentech Limited,EQ,INE570D01018,,local_data_nse_equity_list,2026-04-29
ARSHIYA,ARSHIYA.NS,Arshiya Limited,BZ,INE968D01022,,local_data_nse_equity_list,2026-04-29
ARSSBL,ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,EQ,INE549H01021,,local_data_nse_equity_list,2026-04-29
ARTEMISMED,ARTEMISMED.NS,Artemis Medicare Services Limited,EQ,INE025R01021,,local_data_nse_equity_list,2026-04-29
ARTNIRMAN,ARTNIRMAN.NS,Art Nirman Limited,BE,INE738V01013,,local_data_nse_equity_list,2026-04-29
ARVEE,ARVEE.NS,Arvee Laboratories (India) Limited,EQ,INE006Z01016,,local_data_nse_equity_list,2026-04-29
ARVIND,ARVIND.NS,Arvind Limited,EQ,INE034A01011,,local_data_nse_equity_list,2026-04-29
ARVINDFASN,ARVINDFASN.NS,Arvind Fashions Limited,EQ,INE955V01021,,local_data_nse_equity_list,2026-04-29
ARVSMART,ARVSMART.NS,Arvind SmartSpaces Limited,EQ,INE034S01021,,local_data_nse_equity_list,2026-04-29
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Limited,EQ,INE439A01020,,local_data_nse_equity_list,2026-04-29
ASAHISONG,ASAHISONG.NS,Asahi Songwon Colors Limited,EQ,INE228I01012,,local_data_nse_equity_list,2026-04-29
ASAL,ASAL.NS,Automotive Stampings and Assemblies Limited,EQ,INE900C01027,,local_data_nse_equity_list,2026-04-29
ASALCBR,ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ,INE073G01016,,local_data_nse_equity_list,2026-04-29
ASHAPURMIN,ASHAPURMIN.NS,Ashapura Minechem Limited,EQ,INE348A01023,,local_data_nse_equity_list,2026-04-29
ASHIANA,ASHIANA.NS,Ashiana Housing Limited,EQ,INE365D01021,,local_data_nse_equity_list,2026-04-29
ASHIKA,ASHIKA.NS,Ashika Credit Capital Limited,EQ,INE094B01013,,local_data_nse_equity_list,2026-04-29
ASHIMASYN,ASHIMASYN.NS,Ashima Limited,EQ,INE440A01010,,local_data_nse_equity_list,2026-04-29
ASHOKA,ASHOKA.NS,Ashoka Buildcon Limited,EQ,INE442H01029,,local_data_nse_equity_list,2026-04-29
ASHOKAMET,ASHOKAMET.NS,Ashoka Metcast Limited,EQ,INE760Y01011,,local_data_nse_equity_list,2026-04-29
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,EQ,INE208A01029,,local_data_nse_equity_list,2026-04-29
ASIANENE,ASIANENE.NS,Asian Energy Services Limited,EQ,INE276G01015,,local_data_nse_equity_list,2026-04-29
ASIANHOTNR,ASIANHOTNR.NS,Asian Hotels (North) Limited,EQ,INE363A01022,,local_data_nse_equity_list,2026-04-29
ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,EQ,INE021A01026,,local_data_nse_equity_list,2026-04-29
ASIANTILES,ASIANTILES.NS,Asian Granito India Limited,EQ,INE022I01019,,local_data_nse_equity_list,2026-04-29
ASKAUTOLTD,ASKAUTOLTD.NS,ASK Automotive Limited,EQ,INE491J01022,,local_data_nse_equity_list,2026-04-29
ASMS,ASMS.NS,Bartronics India Limited,EQ,INE855F01042,,local_data_nse_equity_list,2026-04-29
ASPINWALL,ASPINWALL.NS,Aspinwall and Company Limited,EQ,INE991I01015,,local_data_nse_equity_list,2026-04-29
ASTAR,ASTAR.NS,Asian Star Company Limited,EQ,INE194D01017,,local_data_nse_equity_list,2026-04-29
ASTEC,ASTEC.NS,Astec LifeSciences Limited,EQ,INE563J01010,,local_data_nse_equity_list,2026-04-29
ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited,EQ,INE914M01019,,local_data_nse_equity_list,2026-04-29
ASTRAL,ASTRAL.NS,Astral Limited,EQ,INE006I01046,,local_data_nse_equity_list,2026-04-29
ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Limited,EQ,INE386C01029,,local_data_nse_equity_list,2026-04-29
ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ,INE203A01020,,local_data_nse_equity_list,2026-04-29
ASTRON,ASTRON.NS,Astron Paper & Board Mill Limited,BE,INE646X01014,,local_data_nse_equity_list,2026-04-29
ATALREAL,ATALREAL.NS,Atal Realtech Limited,EQ,INE0ALR01029,,local_data_nse_equity_list,2026-04-29
ATAM,ATAM.NS,Atam Valves Limited,EQ,INE09KD01013,,local_data_nse_equity_list,2026-04-29
ATGL,ATGL.NS,Adani Total Gas Limited,EQ,INE399L01023,,local_data_nse_equity_list,2026-04-29
ATHERENERG,ATHERENERG.NS,Ather Energy Limited,EQ,INE0LEZ01016,,local_data_nse_equity_list,2026-04-29
ATL,ATL.NS,Allcargo Terminals Limited,EQ,INE0NN701020,,local_data_nse_equity_list,2026-04-29
ATLANTAA,ATLANTAA.NS,ATLANTAA LIMITED,EQ,INE285H01022,,local_data_nse_equity_list,2026-04-29
ATLANTAELE,ATLANTAELE.NS,Atlanta Electricals Limited,EQ,INE0Z4F01028,,local_data_nse_equity_list,2026-04-29
ATLASCYCLE,ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,EQ,INE446A01025,,local_data_nse_equity_list,2026-04-29
ATUL,ATUL.NS,Atul Limited,EQ,INE100A01010,,local_data_nse_equity_list,2026-04-29
