symbol,yahoo_symbol,name,series,isin,listed_on
AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited,EQ,INE298G01035,16-JUN-2009
AJOONI,AJOONI.NS,Ajooni Biotech Limited,EQ,INE820Y01021,07-MAY-2021
AKASH,AKASH.NS,Akash Infra-Projects Limited,EQ,INE737W01013,11-OCT-2019
AKCAPIT,AKCAPIT.NS,AK Capital Services Limited,EQ,INE701G01012,20-APR-2026
AKG,AKG.NS,Akg Exim Limited,EQ,INE00Y801016,16-FEB-2021
AKI,AKI.NS,AKI India Limited,EQ,INE642Z01026,06-APR-2023
AKSHAR,AKSHAR.NS,Akshar Spintex Limited,EQ,INE256Z01025,23-MAY-2022
AKSHARCHEM,AKSHARCHEM.NS,AksharChem India Limited,EQ,INE542B01011,28-MAR-2017
AKSHOPTFBR,AKSHOPTFBR.NS,Aksh Optifibre Limited,BE,INE523B01011,18-AUG-2000
AKUMS,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,EQ,INE09XN01023,06-AUG-2024
ALANKIT,ALANKIT.NS,Alankit Limited,EQ,INE914E01040,30-JUN-2015
ALBERTDAVD,ALBERTDAVD.NS,Albert David Limited,EQ,INE155C01010,14-JUN-2016
ALEMBICLTD,ALEMBICLTD.NS,Alembic Limited,EQ,INE426A01027,22-SEP-1999
ALGOQUANT,ALGOQUANT.NS,Algoquant Fintech Limited,EQ,INE598D01035,06-JAN-2026
ALICON,ALICON.NS,Alicon Castalloy Limited,EQ,INE062D01024,29-SEP-2006
ALIVUS,ALIVUS.NS,Alivus Life Sciences Limited,EQ,INE03Q201024,06-AUG-2021
ALKALI,ALKALI.NS,Alkali Metals Limited,EQ,INE773I01017,06-NOV-2008
ALKEM,ALKEM.NS,Alkem Laboratories Limited,EQ,INE540L01014,23-DEC-2015
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,EQ,INE150B01039,26-NOV-2007
ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited,EQ,INE418H01029,23-JUN-2006
ALLDIGI,ALLDIGI.NS,Alldigi Tech Limited,EQ,INE835G01018,09-MAY-2005
ALLTIME,ALLTIME.NS,All Time Plastics Limited,EQ,INE0GV601021,14-AUG-2025
ALMONDZ,ALMONDZ.NS,Almondz Global Securities Limited,EQ,INE326B01035,16-JUN-2008
ALOKINDS,ALOKINDS.NS,Alok Industries Limited,EQ,INE270A01029,19-FEB-2020
ALPA,ALPA.NS,Alpa Laboratories Limited,EQ,INE385I01010,06-AUG-2007
ALPHAGEO,ALPHAGEO.NS,Alphageo (India) Limited,EQ,INE137C01018,11-MAY-2007
AMAGI,AMAGI.NS,Amagi Media Labs Limited,EQ,INE121R01077,21-JAN-2026
AMANTA,AMANTA.NS,Amanta Healthcare Limited,EQ,INE084K01015,09-SEP-2025
AMBALALSA,AMBALALSA.NS,Ambalal Sarabhai Enterprises Limited,EQ,INE432A01017,20-APR-2026
AMBER,AMBER.NS,Amber Enterprises India Limited,EQ,INE371P01015,30-JAN-2018
AMBICAAGAR,AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ,INE792B01012,29-JUN-2004
AMBIKCO,AMBIKCO.NS,Ambika Cotton Mills Limited,EQ,INE540G01014,29-JAN-2008
